package,version,architecture,filename,size,mode,owner,group,md5,sha1,sha256
389-ds,1.4.0.21-1,all,./usr/share/doc/389-ds/README.Debian,432,420,root,root,9a11ceba9b0025bdf04ac50f33430a76,a45e02d9707b738ffa320969b7fc4d3e06ca41f7,
389-ds,1.4.0.21-1,all,./usr/share/doc/389-ds/changelog.Debian.gz,8084,420,root,root,25f673ee7240d0859e8754612533114d,4badb95362f265fc18e7a70b1da015e78d354d1f,
389-ds,1.4.0.21-1,all,./usr/share/doc/389-ds/copyright,34057,420,root,root,e5ac4372f4f28220368f653343fbba12,03db338208a1b6cbfae8e1db9dd0af00fae50658,
4g8,1.0-3.2,amd64,./usr/sbin/4g8,27184,493,root,root,4ca61053ad0f5d61fc72fe3f2c0a9e0c,7f67a78fcdec4980d90efb5b565f45df651e04c7,
4g8,1.0-3.2,amd64,./usr/share/doc/4g8/changelog.Debian.gz,606,420,root,root,03f07fbd1dc55a63d841da4c9a5755be,d23b14b6b7d2e56ee5b93e47dd3d6764f11ea829,
4g8,1.0-3.2,amd64,./usr/share/doc/4g8/copyright,331,420,root,root,5d869d8425bef98d4e17ac968bae4aab,d9f0c6a84d91cf3c755a9b305d29239d3552af9a,
4g8,1.0-3.2,amd64,./usr/share/man/man1/4g8.1.gz,639,420,root,root,ccf568131253178a71498619fd4f5dd1,1e67014ba859efb01c74ee21966f196204cd3551,
9mount,1.3+hg20170412-1,amd64,./usr/bin/9bind,14480,8389101,root,root,ebe68fdccac9dc0c2c722dc77504efd1,767cb2c9baf87502457d5b12666a6af48467ed4d,
9mount,1.3+hg20170412-1,amd64,./usr/bin/9mount,18920,8389101,root,root,4a2fe3623f8760176f1e4d8d13eae68f,663f2e8f1c5018a51855be09069262e97410a6d4,
9mount,1.3+hg20170412-1,amd64,./usr/bin/9umount,14608,8389101,root,root,d77d58571c69e5a522a490525e9a432c,9d35fc30bc4fc63406d177a54980bc6b162cb011,
9mount,1.3+hg20170412-1,amd64,./usr/share/doc/9mount/changelog.Debian.gz,835,420,root,root,e899ce9d763cad139cb46a4104117859,28b056cb5fb16786dfaadc678ce5ecbaf33f01aa,
9mount,1.3+hg20170412-1,amd64,./usr/share/doc/9mount/changelog.gz,365,420,root,root,a3c95cadd927f0bf96b4a735bfba9537,41201756d558a9c5b0b036bfc58eaeb6f0abe42a,
9mount,1.3+hg20170412-1,amd64,./usr/share/doc/9mount/copyright,1660,420,root,root,0b981c4c8c2554e8cc710b82b3b1f2ab,724100497b27f8c9dadc3b2b76103c1221cbfb84,
9mount,1.3+hg20170412-1,amd64,./usr/share/lintian/overrides/9mount,156,420,root,root,5bc7645590cc672858d53892074fa51b,427c9b981c3dbae897d74e111cb5eab91c8acb8d,
9mount,1.3+hg20170412-1,amd64,./usr/share/man/man1/9mount.1.gz,1526,420,root,root,e6cea583acaacbfe8bc47e1ec20abca3,b2c2875dae68e209b84fe05e47f963c17736207e,
0xffff,0.8-1,amd64,./lib/udev/rules.d/60-0xffff.rules,449,420,root,root,05d72ecd59881ad7beaf839673c86ca7,f37cb1f9ec084d6e56bcb4d83f2f598da5c2a01c,
0xffff,0.8-1,amd64,./usr/bin/0xFFFF,117384,493,root,root,674cc7b30fc281d8c79e81a24f6f9b11,6902f7f234ead3e8535acac9721a8eb5ead6e37d,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/README,1845,420,root,root,de1ba590c6dde9a9c70d02d3db012913,1e2234e784cfaba4b259fd8f5eda203623404dbb,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/TODO,425,420,root,root,f1366d67fb0073c9a4dca985d75c594d,c4c6ceca50e3d3c0efa8435e82d23b00c7597c8f,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/changelog.Debian.gz,1206,420,root,root,c7ed5a2a9d26beb90849603c3bc6275a,71d5fb62cdf0722bc991b67a0b6eee764fe37f51,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/copyright,1428,420,root,root,72d6e88a8bfbe7a49d6adf25f5129253,0b3bfb468dfc706f76b4a8cb35e4e7cf2e4d2bd4,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/doc/dumping,2022,420,root,root,86415e8da68fe2842ede852c36d8cbac,ac06d2535aba474658efdaffc7bd7bd79407d624,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/doc/examples,1053,420,root,root,8f3945aeee4949bb31eb66fe553704e9,27936dcf8d50a8ce0e8cd6617c9749a5b470e19b,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/doc/faq,747,420,root,root,d849045ac965d020905b426c11812552,30b312cd3ac654a4e55a7f92f56e85d281be0c45,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/doc/faq2,2758,420,root,root,2c34af586db24abae82ced5c85c76e11,6835f015f70f6073251ad4a1cfd3d69516ee5f49,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/doc/fiasco,2502,420,root,root,5a9f525c3c2b286e75ab00ac63898fd7,5c33a22e72ca6b6ab27971d705b6c0690d528679,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/doc/local-flash,1263,420,root,root,3b5bbeff44ae212623d86fb5e14c783c,b7d24c1f600aec26eaa451e5da27bf9cc0feceaf,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/doc/mkii.gz,1538,420,root,root,af77cdedde93ab82301fa5d1c4e6d7b2,57970e30185721109a5af7ea0f8d346eec2da9c3,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/doc/nokia-tips,3813,420,root,root,96326088e65c5f0080ea120b7831aeb9,61b17ad303d5190f94ab6ccce3c838e8d432a5b8,
0xffff,0.8-1,amd64,./usr/share/doc/0xffff/doc/pieces,1316,420,root,root,814b955ba6b224bace4b40df0a13a9da,068715489c4781c0d0b57fd0288faebc45127a36,
0xffff,0.8-1,amd64,./usr/share/man/man1/0xFFFF.1.gz,1893,420,root,root,610d912bc4738483efc804dde1095469,55f8118d2b103c43b4f61bd1e5f6efe21f843303,
0xffff,0.8-1,amd64,./usr/share/metainfo/0xffff.udev.metainfo.xml,665,420,root,root,26c00032230e26c8f5bfaa72bc8d0bb2,b45181d62374b9f5b92ba756b42ddcf57003f8c9,
0xffff,0.8-1,amd64,./usr/share/zsh/vendor-completions/_0xFFFF,4170,420,root,root,507a74c14f7f616115988460defcf28b,c253f2bd73dc9cd56d3094dd9f83a7b0b3965bdc,
6tunnel,1:0.12-1,amd64,./usr/bin/6tunnel,22536,493,root,root,d48ee45a5224643bca2dbdd0842ac811,691a9e22e444817f1e0eb70f14cdc05fedca8d94,
6tunnel,1:0.12-1,amd64,./usr/share/doc/6tunnel/changelog.Debian.gz,1760,420,root,root,f54c747c7fdbd6e07d49f3184fba1023,73bf087dec77dc4cf1327e8ccfdbaf75a4da6b9d,
